746,320689,418,313,35484,121312,30007,132035,152,92224,41,197431,424,129,107882,614,43,646,49,272,618,35,56426,56350,69380,25,39,93898,144,111822,27751,69047,126,163827,756,55982,45,140,128,52760,722,124,63448,63446,171,199,214070,56299,109351,287,34488,250,293814,68,46,54988,195696,107729,334,24,29,16,472,119855,164,342,204,200,129,5034,2314,66,193,778,3358,30162,154,1866,2062,63635,51,1860,103824,195,428,2979,423,47057,47288,10,281789,3203,2972,427
71295,256,368,326379,166,225,166,991,64307,67311,224670,335,353,219385,51550,105,626,107782,35681,43907,653,229616,108,93808,54,23513,109526,69008,112041,27661,56088,48,77,396,417,93383,118,64461,26892,70836,438,144,26957,26726,26562,181,52575,70,220,41,55792,37,198095,211914,324,296,97,92,82,222687,36,75,121728,546,48,3396,173,217366,347,2088,25,340,457,89,3344,51883,277551,94437,175,130,18893,863,140,279137,298561,2999,288266,1304,429,32668,180,159482,49,1461
215,71544,5634,1948,1011,45,193,453,26780,48,31,11,192068,51833,126,107916,51496,51562,43,108765,58,726,27,68873,230421,60,380,70,65255,56146,93638,63,72,194238,474,68477,64492,125,55584,74,57168,152,146,54875,54676,160,70747,120,266,52,256,65,41,66,521,108261,31,195571,45,368,222676,43,473,223,376,3445,171,156,169,1475,96530,373,3527,3466,510,158,37,111180,113881,882,63739,411,146,49,47,429,315437,435,43636,81534,167,351,2614,4655
27819,770,3040,697,732,288,1117,267,55169,29,661,877,420,69212,43044,47,47,203,88,589,109592,639,94275,10,60,34698,392,229378,27858,51,68638,230191,68,561,110391,52,27236,27222,34,86,87,63422,54840,48,91925,63500,90,528,188,167,46,55,358,47,871,183,38181,37664,107847,358,30,50,36386,211,49547,87132,188,414,362,61,238,129,4435,3428,156343,103941,134,55,403,162,905,121,148,130,1771,159033,382,286974,455,107489,87,116228,314,46850
326,175,205,718,211,196130,174886,34926,39,224602,27,57006,356,98,169,51599,42398,42341,197567,359,55,40,69124,72,721,36984,649,38,35,93608,52,43,14,1238,761,228418,55491,89,93028,67,484,27053,92057,91833,66600,26742,84,55,63712,155,188,185,585,51467,165,122,34545,34436,37503,107783,60,22789,200,518,36536,435,86816,3709,98,498,50042,48,1490,577,169,160,237,59,917,1971,170,286338,97542,125,1959,92,89,314611,287197,22,224,300367,1338,43387
1706,27668,28424,73115,76,126,138,175091,44,732,595,295972,1078,105,219802,42799,153,128,302,453,49,109755,40,228494,675,23,163787,694,56086,68424,60,63,23331,163,500,164,23,55374,67957,23302,135,54918,66867,66695,47,54969,49,108175,181,63925,94,62909,843,69139,55797,182,55259,55209,34541,51269,544,69,34058,142,1315,51,59427,3407,321,376,329,196501,5015,155856,71,119,74,62,145,462,2000,1898,124139,211,770,298769,3035,465,313269,58360,142,2118,3019,533
225,204,271,256,141,327,145,73915,92769,706,110116,503,133,141,51512,49,120,60,835,162200,52502,84,77,27,57,300297,194046,661,12,49,229115,785,74,534,118728,62,32,34,20,71,108194,15,67,60,86,28,87,765,26781,26799,63598,188,56970,110,82,62774,353,132,54954,139,501,33776,54797,59,484,125,401,440,19889,2325,249,1361,113191,44,294187,98396,172,55,286996,1863,110412,93828,20,73167,83,927,3063,3067,3143,205450,70096,1899,4136,287501
271,300,323289,494,830,153,113,130056,67179,107273,107619,170,60,88,171,141,137,217656,56339,193599,43005,52854,229598,39,109919,92,1237,109625,93748,52,65,722,72,411,23,797,92916,93094,62,86,705,92036,224569,224519,224309,92131,22824,158893,55099,54858,172,26360,144,92,568,26300,359,334,333,98,91,35757,106951,268,503,338,97,88795,94,286,286,586,583,293004,2507,124651,68607,99729,1895,917,1877,2052,144,80,19074,2066,467,3087,3074,50,61,860,1432,313590
169863,241,783,28112,147,36278,237,65,62,43,51813,109,147,106,68809,149,218068,168,527,1079,150,43280,28,715,67,90,135,112048,69029,229098,783,109573,34665,539,164844,801,67924,67948,226739,82,159662,67556,62,51,63,66629,33803,190880,33,91915,26387,54479,229,53,106611,54084,205,324,195102,42800,107560,22,462,35394,261,49702,214,155,654,722,39639,453,45834,1096,2316,132,98,499771,94481,53,398,61,99,69592,64289,1951,377,159183,159988,13,83092,55,418,3369
196,1664,741,288,185321,72,35242,80494,109297,51801,144,56,427,22808,97,219234,179,51634,98,115,125,181,746,716,81,202008,471,19,71,58,52,68,36798,118355,747,67,133,45,53,34018,191227,67,973,907,48,73,30,654,91946,66393,54296,91124,618,116,796,91078,62778,37,82,143,51049,48,375,33360,473,427,219,376,30060,57,829,2671,330,2408,1057,66,81883,101,1999,121,864,104,55,106,800,124,159846,298905,379,38,159,115,4609,3316
